Reference, Quantity, Value, Footprint, Datasheet, DESCRIPTION, MANUFACTURER, MF, MP, MPN, Mouser, MAXIMUM_PACKAGE_HEIGHT, PARTREV, STANDARD
R16 ,1,"47.5K","Resistor_SMD:R_0805_2012Metric","https://www.mouser.fr/datasheet/2/427/crcwhpe3-1713858.pdf","Thick Film Resistors - SMD 1/2W 47.5Kohms 1% High Power AEC-Q200","Vishay / Dale","","","CRCW080547K5FKEAHP","71-CRCW080547K5FKEAH","","",""
R17 ,1,"1K","Resistor_SMD:R_0805_2012Metric","https://www.mouser.fr/datasheet/2/427/tnpw_e3-1761965.pdf","Thin Film Resistors - SMD 1Kohms .1% 25ppm","Vishay / Dale","","","TNPW08051K00BEEA","71-TNPW08051K00BEEA","","",""
R1 R2 ,2,"470R","Resistor_SMD:R_0805_2012Metric","https://www.mouser.fr/datasheet/2/54/crxxxxx-1858361.pdf","Thick Film Resistors - SMD 470ohm 1%","Bourns","","","CR0805-FX-4700ELF","652-CR0805FX-4700ELF","","",""
R4 R5 R6 R7 R21 R29 R30 ,7,"1.5K","Resistor_SMD:R_0805_2012Metric","https://www.vishay.com/doc?20066","Thick Film Resistors - SMD 1/4W 1.5Kohms 1% 100ppm","Vishay / Dale","","","RCC08051K50FKEA","71-RCC08051K50FKEA","","",""
TH1 R3 R8 R9 R10 R11 R12 R13 R18 R19 R20 R22 R23 R24 R25 R26 R27 R28 ,18,"10K","Resistor_SMD:R_0805_2012Metric","https://www.mouser.fr/ProductDetail/Bourns/CHP0805-FX-1002ELF?qs=sGAEpiMZZMv0NwlthflBi1MxwmN%2FTR8GzMy5uYhZg1A%3D","Thick Film Resistors - SMD ResHighPower 0805 10k 1% 1/2W TC100","Bourns","","","CHP0805-FX-1002ELF","652-CHP0805FX1002ELF","","",""
SW1 ,1,"RST","Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2","https://www.mouser.fr/datasheet/2/60/kmr2-1841878.pdf","Tactile Switches SPST Rnd Bttn Gull .05A 32VDC 1W SMD","C&K","","","KMR221GLFS","611-KMR221G-LFS","","",""
SW2 ,1,"EN","Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2","https://www.mouser.fr/datasheet/2/60/kmr2-1841878.pdf","Tactile Switches SPST Rnd Bttn Gull .05A 32VDC 1W SMD","C&K","","","KMR221GLFS","611-KMR221G-LFS","","",""
SW3 ,1,"ON/OFF","Button_Switch_SMD:SW_SPDT_PCM12","https://www.mouser.fr/ProductDetail/CK/PCM12SMTR?qs=sGAEpiMZZMv0NwlthflBi4NCrDvQ8skA","Slide Switches 0.3A SPDT ON-ON","C&K","","","PCM12SMTR","611-PCM12SMTR","","",""
U1 ,1,"IC-BATT-CHARGER-MCP73834","Package_SO:MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm","https://www.mouser.fr/ProductDetail/Microchip-Technology/MCP73834T-FCI-MF?qs=jZi1jxfVU94zI3ynUSdAkQ%3D%3D","Battery Management Charge Management Controllers","Microchip Technology","","","MCP73834T-FCI/MF","579-MCP73834T-FCI/MF","","",""
U2 ,1,"ESP32-WROOM-32U","1KiCadLib:ESP32-WROOM-32U","https://www.mouser.fr/datasheet/2/891/esp32_wroom_32_datasheet_en-1510934.pdf","Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 +EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz Antenna Not Included, U.FL Surface Mount","Espressif Systems","Espressif Systems","ESP32-WROOM-32U","ESP32-WROOM-32U(M113DH3200UH3Q0)","356-ESP32-WROOM-32U","","",""
U3 ,1,"ADXL343","Package_LGA:LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y","https://www.analog.com/media/en/technical-documentation/data-sheets/ADXL343.pdf","Accelerometers Digital Output Three-Axis Accel","Analog Devices","","","ADXL343BCCZ-RL7","584-ADXL343BCCZ-R7","","",""
U4 ,1,"PESD2ETH-AD","Package_TO_SOT_SMD:SOT-23-6","https://www.mouser.fr/datasheet/2/916/PESD2ETH-AD-1599750.pdf","ESD Suppressors / TVS Diodes DIODE ESD PROT","Nexperia","","","PESD2ETH-ADX","771-PESD2ETH-ADX","","",""
U5 ,1,"ISL9110IRTNZ","1KiCadLib:IC_BUCK_BOOST_ISL9110IRTNZ","https://www.mouser.fr/datasheet/2/698/REN_isl9110_12_DST_20050421-1529440.pdf","Switching Voltage Regulators 1 2A SINGLE IND BUCK BOOST 3 3V 12LD","Renesas / Intersil","","","ISL9110IRTNZ","968-ISL9110IRTNZ","","",""
U6 ,1,"MIC280-3YM6-TR","Package_TO_SOT_SMD:SOT-23-6","https://www.mouser.fr/datasheet/2/268/MIC280_Precision_IttyBitty_Thermal_Supervisor_DS20-1923580.pdf","Board Mount Temperature Sensors 12-bit Local and Remote +/-4% -55C to +125C I2C Temperature Sensor","Microchip Technology / Micrel","","","MIC280-3YM6-TR","998-MIC280-3YM6TR","","",""
U7 ,1,"CP2102N-A01-GQFN28","Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm","https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf","","","","","CP2102N-A02-GQFN28","634-CP2102NA02GQFN28","","",""
